state,traditional_method,se.traditional_method,year,country,pred,pred_upper,pred_lower
Africa:Senegal:Tambacounda,,,2025,,0.0085582887206988,0.0619330767796484,0.0011396889437891
Africa:Senegal:Thiès,,,1990,,0.0178815034542928,0.0501988494895705,0.0061045076712306
Africa:Senegal:Thiès,,,1991,,0.0177519588764336,0.0468933726058713,0.0063681486094674
Africa:Senegal:Thiès,,,1992,,0.0176109301821825,0.0442886842887809,0.006612356310824
Africa:Senegal:Thiès,0.023391812865497,0.0075821055469712,1993,Senegal,0.0196536793795441,0.0348012056827142,0.0110803591851428
Africa:Senegal:Thiès,,,1994,,0.0172919975944565,0.0405891425120468,0.0070196033765078
Africa:Senegal:Thiès,,,1995,,0.0171283569300957,0.0392696473404426,0.007176146029848
Africa:Senegal:Thiès,,,1996,,0.0169768920270713,0.0381901311470648,0.0073031803122026
Africa:Senegal:Thiès,,,1997,,0.0168441225927076,0.037263583229061,0.0074062125504255
Africa:Senegal:Thiès,,,1998,,0.0167347436676052,0.0364948891595902,0.0074928696974651
Africa:Senegal:Thiès,,,1999,,0.0166519787461658,0.0358434154407945,0.0075643912758009
Africa:Senegal:Thiès,,,2000,,0.0165981580432222,0.0352814450548965,0.0076409682989127
Africa:Senegal:Thiès,,,2001,,0.0165759664915268,0.0348032443043397,0.0077297857713073
Africa:Senegal:Thiès,,,2002,,0.016588690283892,0.0344354805243831,0.0078281683646939
Africa:Senegal:Thiès,,,2003,,0.0166398568896671,0.0341590712676266,0.0079497298610418
Africa:Senegal:Thiès,,,2004,,0.0167340413870008,0.03396801086774,0.008096168011261
Africa:Senegal:Thiès,0.0150393107220346,0.0064768605702393,2005,Senegal,0.0146804097103189,0.0223249472675134,0.0094921057003791
Africa:Senegal:Thiès,,,2006,,0.017075047662953,0.0338589984013869,0.0084643922760443
Africa:Senegal:Thiès,,,2007,,0.0173307460464047,0.0339443349010349,0.0086957520974611
Africa:Senegal:Thiès,,,2008,,0.017647301392988,0.0341293837944197,0.008966700001041
Africa:Senegal:Thiès,,,2009,,0.0180299216551375,0.0344230860799653,0.0092761043307001
Africa:Senegal:Thiès,0.0018525956527643,0.0018725366099318,2010,Senegal,0.0124901619609442,0.0196991754293643,0.0077399736978881
Africa:Senegal:Thiès,,,2011,,0.0190280974198219,0.0353811023692734,0.0099976976490593
Africa:Senegal:Thiès,0.0174043677074658,0.0068229752287445,2012,Senegal,0.0216375374428661,0.0304735308890862,0.0153118647610745
Africa:Senegal:Thiès,,,2013,,0.0202877438786215,0.0369641535525697,0.0107194834340434
Africa:Senegal:Thiès,0.022780006961595,0.0106896538328387,2014,Senegal,0.0209881216918752,0.0299534714588023,0.0145681600910318
Africa:Senegal:Thiès,0.030429415050114,0.0078097272325402,2015,Senegal,0.029118997810104,0.0396039428781152,0.0214377199486115
Africa:Senegal:Thiès,0.027908226528307,0.0104836675021179,2016,Senegal,0.0274055416500393,0.0390876043529092,0.0193060604220358
Africa:Senegal:Thiès,0.0,0.0,2017,Senegal,0.0186867998096087,0.0282110975105423,0.0121333406760532
Africa:Senegal:Thiès,0.0308608462960391,0.0075083116493308,2018,Senegal,0.0233954004548736,0.0332300466241108,0.0164166337250095
Africa:Senegal:Thiès,0.0027650435369428,0.002995432830647,2019,Senegal,0.0233607818775515,0.0373045250283229,0.014435722027107
Africa:Senegal:Thiès,,,2020,,0.0247759956353627,0.0500348246715603,0.0116571433246803
Africa:Senegal:Thiès,,,2021,,0.0254143913323247,0.0538333789444295,0.0114530116762363
Africa:Senegal:Thiès,,,2022,,0.0260667215206516,0.0584084465782237,0.0111533303470525
Africa:Senegal:Thiès,,,2023,,0.026733587948835,0.0638762339821504,0.0107732575811906
Africa:Senegal:Thiès,,,2024,,0.027416005194996,0.0703504108942474,0.0103361035264254
Africa:Senegal:Thiès,,,2025,,0.0281145828556363,0.0779141639742741,0.0098457774975978
Africa:Senegal:Ziguinchor,,,1990,,0.0556855584263409,0.1703347304817461,0.0163316255200013
Africa:Senegal:Ziguinchor,,,1991,,0.0533704683800504,0.1546629413660838,0.0166053968793102
Africa:Senegal:Ziguinchor,,,1992,,0.0511223920509805,0.1411128220756779,0.0168177146890329
Africa:Senegal:Ziguinchor,0.057471264367816,0.0256151755553901,1993,Senegal,0.0549609369737919,0.1157135540715223,0.0253164164698092
Africa:Senegal:Ziguinchor,,,1994,,0.0468243932801027,0.119696253852748,0.0169756755921356
Africa:Senegal:Ziguinchor,,,1995,,0.0447944022538614,0.1110982275234344,0.0169345470812627
Africa:Senegal:Ziguinchor,,,1996,,0.0428628652715879,0.1034432770661367,0.0168227805472471
Africa:Senegal:Ziguinchor,,,1997,,0.0410371488367354,0.0967284647070688,0.0166499969676533
Africa:Senegal:Ziguinchor,,,1998,,0.0393191487521388,0.0906519040892848,0.0164301851571591
Africa:Senegal:Ziguinchor,,,1999,,0.0377072120150882,0.0851758685840419,0.0161794647094603
Africa:Senegal:Ziguinchor,,,2000,,0.0361983682588653,0.0802734373321168,0.0159129020486884
Africa:Senegal:Ziguinchor,,,2001,,0.0347901662716263,0.075813082766913,0.0156425569455027
Africa:Senegal:Ziguinchor,,,2002,,0.033479733813484,0.0717784710116121,0.0153757461008219
Africa:Senegal:Ziguinchor,,,2003,,0.0322648060192549,0.0681786952047562,0.015116078804853
Africa:Senegal:Ziguinchor,,,2004,,0.0311442803592436,0.0649243274168321,0.014865015083355
Africa:Senegal:Ziguinchor,0.0253156013480318,0.009453828409572,2005,Senegal,0.0262506973144069,0.0414793606977991,0.0167158818388446
Africa:Senegal:Ziguinchor,,,2006,,0.029185972206092,0.059359320693998,0.0143720127319378
Africa:Senegal:Ziguinchor,,,2007,,0.0283390587156611,0.0569973957149802,0.0141344467223025
Africa:Senegal:Ziguinchor,,,2008,,0.0275692718320689,0.0548891899546108,0.0139105192236659
Africa:Senegal:Ziguinchor,,,2009,,0.0268710170288915,0.052998404098168,0.0136843945025208
Africa:Senegal:Ziguinchor,0.0,0.0,2010,Senegal,0.0178183572323141,0.029493543762121,0.0106326112314294
Africa:Senegal:Ziguinchor,,,2011,,0.0256778660199466,0.0498708804551191,0.0131976219823474
