state,modern_method,se.modern_method,year,pred,pred_upper,pred_lower
Africa:Senegal:Kolda,0.1543490578014763,0.0972038560446523,2015,0.0937309558007689,0.1492413539689579,0.0595393288716763
Africa:Senegal:Kolda,0.0,0.0,2016,0.093531709618048,0.1490248339526819,0.0593771601670234
Africa:Senegal:Kolda,0.0992987304862328,0.0718322501616051,2017,0.0933854636498945,0.1488543363180109,0.0592616259832073
Africa:Senegal:Kolda,0.0,0.0,2018,0.0934497890187828,0.1490794475331603,0.0592487485376829
Africa:Senegal:Kolda,0.0,0.0,2019,0.0933855340460569,0.1490994077909013,0.0591575205486011
Africa:Senegal:Kolda,,,2020,0.0934082846568063,0.149258913332057,0.0591176440322158
Africa:Senegal:Kolda,,,2021,0.0934051967986344,0.1493757315029379,0.0590636433761815
Africa:Senegal:Kolda,,,2022,0.0934027638760003,0.1494939093077921,0.05901035752264
Africa:Senegal:Kolda,,,2023,0.0934009786151899,0.1496133446400935,0.0589580220099318
Africa:Senegal:Kolda,,,2024,0.0933998361172302,0.1497339798428832,0.058906868848974
Africa:Senegal:Kolda,,,2025,0.0933993340144319,0.1498558146508028,0.0588494492098612
Africa:Senegal:Louga,,,1990,0.0346493111974731,0.0572715385293707,0.0197171458343473
Africa:Senegal:Louga,,,1991,0.0346492862672595,0.0572187883097565,0.0197342535878608
Africa:Senegal:Louga,,,1992,0.0346490956451773,0.0571666869372203,0.0197511847367677
Africa:Senegal:Louga,0.0476190476190476,0.0481981954694842,1993,0.0346465182070656,0.0571064844159604,0.0197686349205375
Africa:Senegal:Louga,,,1994,0.0346489318591954,0.0570771790247139,0.0197804991201352
Africa:Senegal:Louga,,,1995,0.0346489529471632,0.0570394737395748,0.0197928999774756
Africa:Senegal:Louga,,,1996,0.034648799445564,0.0570021654710845,0.0198051126577928
Africa:Senegal:Louga,,,1997,0.0346484707060835,0.0569652538276234,0.0198171300749327
Africa:Senegal:Louga,,,1998,0.0346479662248643,0.0569287367568137,0.0198289456305174
Africa:Senegal:Louga,,,1999,0.0346472856458545,0.0568926109705177,0.0198405531103296
Africa:Senegal:Louga,,,2000,0.0346464287633917,0.056856872279688,0.0198519465890968
Africa:Senegal:Louga,,,2001,0.0346453955242523,0.0568215158628058,0.0198631203422912
Africa:Senegal:Louga,,,2002,0.0346441860292145,0.056786536485735,0.0198740687659468
Africa:Senegal:Louga,,,2003,0.0346428005343096,0.0567519286879418,0.0198847863032701
Africa:Senegal:Louga,,,2004,0.0346412394515704,0.0567176869472838,0.0198952673773807
Africa:Senegal:Louga,0.0197501951277239,0.0202346975880762,2005,0.0346398044628276,0.0566780888193334,0.0199078336529892
Africa:Senegal:Louga,,,2006,0.0346391342658704,0.056664052462627,0.019912077677973
Africa:Senegal:Louga,,,2007,0.0346385849613553,0.0566441773778688,0.0199185733262603
Africa:Senegal:Louga,,,2008,0.0346378556551434,0.0566241813660595,0.0199249908432276
Africa:Senegal:Louga,,,2009,0.0346369466454619,0.0566040656189606,0.0199313271811
Africa:Senegal:Louga,0.0,0.0,2010,0.0346008916950841,0.0565237512819613,0.019917653397976
Africa:Senegal:Louga,,,2011,0.0346676306118914,0.0566222882106506,0.019962582010502
Africa:Senegal:Louga,0.0279340035656977,0.0272389681172348,2012,0.0347160018425384,0.0566820683764423,0.0199992718563829
Africa:Senegal:Louga,,,2013,0.034716373452704,0.056686817439565,0.0199980341225999
Africa:Senegal:Louga,0.0,0.0,2014,0.0347768097897393,0.0567804665354002,0.0200355158048057
Africa:Senegal:Louga,0.050669067729496,0.0400329646358821,2015,0.034731912433572,0.0566963751357646,0.0200132877475596
Africa:Senegal:Louga,0.0,0.0,2016,0.0346519901717155,0.0565830792951818,0.0199592154456109
Africa:Senegal:Louga,0.0175454246588573,0.0154579276656895,2017,0.0345918267873284,0.0564947936217689,0.0199196521629996
Africa:Senegal:Louga,0.0,0.0,2018,0.034618080222871,0.0565681833985571,0.0199230260547378
Africa:Senegal:Louga,0.0171022329467876,0.0181660677034561,2019,0.0345931063389932,0.056559055301531,0.0198968513724407
Africa:Senegal:Louga,,,2020,0.0346045547881847,0.0566320683177573,0.0198835705637798
Africa:Senegal:Louga,,,2021,0.0346054016234958,0.0566805049808469,0.0198667980973757
Africa:Senegal:Louga,,,2022,0.0346060751754438,0.0567295984561,0.0198497112629167
Africa:Senegal:Louga,,,2023,0.0346065768312269,0.0567793593031318,0.0198323203406587
Africa:Senegal:Louga,,,2024,0.0346069081374735,0.0568297989881736,0.0198146373368821
Africa:Senegal:Louga,,,2025,0.0346070708166583,0.0568809282016381,0.0197966762311339
Africa:Senegal:Matam,,,1990,0.0314724986125484,0.0533752654185848,0.0164855632333655
Africa:Senegal:Matam,,,1991,0.0314724395442402,0.0533305296587154,0.0164987856937763
Africa:Senegal:Matam,,,1992,0.0314720796373875,0.0532840125515333,0.0165119319738122
Africa:Senegal:Matam,0.0,0.0,1993,0.0314693160369374,0.0532309439546193,0.0165245444617035
Africa:Senegal:Matam,,,1994,0.0314722015828601,0.0531947564987525,0.0165372684368052
Africa:Senegal:Matam,,,1995,0.0314726662537845,0.0531526878220946,0.0165494206194173
Africa:Senegal:Matam,,,1996,0.0314728077704274,0.0531108628830256,0.0165593782703961
Africa:Senegal:Matam,,,1997,0.0314726214115161,0.0530785112580047,0.0165690971483642
Africa:Senegal:Matam,,,1998,0.0314718761888719,0.0530450225013309,0.016578704326726
Africa:Senegal:Matam,,,1999,0.0314707049927746,0.0530105579314722,0.016588187237315
Africa:Senegal:Matam,,,2000,0.0314691877159392,0.0529752737447331,0.0165975326332052
Africa:Senegal:Matam,,,2001,0.0314673227816324,0.0529393192875166,0.0166067267291479
Africa:Senegal:Matam,,,2002,0.0314651083727999,0.0529028353981403,0.0166157552206698
Africa:Senegal:Matam,,,2003,0.0314625428457392,0.0528659515478351,0.0166246043746222
Africa:Senegal:Matam,,,2004,0.0314596314556787,0.0528288289115381,0.0166332683406437
Africa:Senegal:Matam,0.0,0.0,2005,0.0314567703092655,0.0527894511295797,0.0166425635228175
Africa:Senegal:Matam,,,2006,0.0314520247874832,0.0527581424982551,0.0166481895789539
Africa:Senegal:Matam,,,2007,0.0314473142677433,0.0527243513097883,0.0166545509081954
Africa:Senegal:Matam,,,2008,0.0314422287066212,0.0526903285530244,0.0166607823052545
Africa:Senegal:Matam,,,2009,0.0314367682558508,0.0526560899676707,0.0166668774837271
Africa:Senegal:Matam,0.009276842408374,0.0094408271128731,2010,0.0313976425093546,0.0525661160197713,0.0166586108911484
Africa:Senegal:Matam,,,2011,0.0314606169246238,0.0526512778152734,0.0166933490422656
Africa:Senegal:Matam,0.0,0.0,2012,0.0315058884146117,0.0527024038060209,0.0167215388520255
Africa:Senegal:Matam,,,2013,0.0315045651836288,0.0526912130792887,0.0167250086203657
Africa:Senegal:Matam,0.0,0.0,2014,0.0315598485430226,0.0527600632425339,0.0167565085472119
Africa:Senegal:Matam,0.0250486172039309,0.0242036544915929,2015,0.0315154788004524,0.052675951733351,0.0167419250064526
Africa:Senegal:Matam,0.0191650521158523,0.0192844009971948,2016,0.0314412544358712,0.0525639094945262,0.0167075352645255
Africa:Senegal:Matam,0.0094497930469851,0.0097544632231214,2017,0.0313875719399832,0.0524898304817035,0.0166801419811975
Africa:Senegal:Matam,0.0356408115176069,0.0315344438939951,2018,0.0314160217384018,0.0525480555195892,0.0166893428673488
Africa:Senegal:Matam,0.025527352622512,0.0255234485890932,2019,0.0313955385600517,0.0525476336576427,0.0166707260173402
Africa:Senegal:Matam,,,2020,0.0314073405897812,0.0526130071094696,0.0166619390211548
Africa:Senegal:Matam,,,2021,0.0314090331189141,0.0526565676249523,0.0166504132765468
Africa:Senegal:Matam,,,2022,0.0314103704413141,0.0527003452075529,0.0166385927406012
Africa:Senegal:Matam,,,2023,0.0314113566019197,0.0527442686987648,0.0166264893382138
Africa:Senegal:Matam,,,2024,0.0314119958310205,0.0527882519488767,0.0166141163095555
Africa:Senegal:Matam,,,2025,0.0314123107391864,0.052831942509351,0.0166015505895035
Africa:Senegal:Saint-Louis,,,1990,0.0357677634820886,0.0642916291079293,0.0190920026192029
Africa:Senegal:Saint-Louis,,,1991,0.035767704742934,0.0642420793791268,0.0191069034149386
Africa:Senegal:Saint-Louis,,,1992,0.0357675897316858,0.0641931640998537,0.0191216066702944
Africa:Senegal:Saint-Louis,0.0,0.0,1993,0.0357650893961037,0.0641388305775281,0.0191355449801176
Africa:Senegal:Saint-Louis,,,1994,0.0357691502634498,0.0641057865441557,0.0191499831669002
Africa:Senegal:Saint-Louis,,,1995,0.0357708285280902,0.0640670781750018,0.0191637160025275
Africa:Senegal:Saint-Louis,,,1996,0.0357724527819723,0.0640287683972389,0.0191773114231344
Africa:Senegal:Saint-Louis,,,1997,0.035774022960836,0.063990857291543,0.019190769122129
Africa:Senegal:Saint-Louis,,,1998,0.0357755390247973,0.0639533442479763,0.0192040886998457
Africa:Senegal:Saint-Louis,,,1999,0.0357770009599436,0.0639162281167884,0.0192172696651716
Africa:Senegal:Saint-Louis,,,2000,0.0357784087798133,0.0638795073367794,0.0192303114343578
Africa:Senegal:Saint-Louis,,,2001,0.0357797625270232,0.0638431800484149,0.0192432133262616
Africa:Senegal:Saint-Louis,,,2002,0.0357810622747383,0.0638072441936191,0.0192559745562673
Africa:Senegal:Saint-Louis,,,2003,0.0357823081282102,0.0637716976069748,0.0192685942282569
Africa:Senegal:Saint-Louis,,,2004,0.0357835002262744,0.0637365380997598,0.0192810713255481
Africa:Senegal:Saint-Louis,0.0,0.0,2005,0.0357851186440134,0.0636995336341693,0.0192943417176991
Africa:Senegal:Saint-Louis,,,2006,0.0357848953137003,0.0636710306425402,0.0193036615422316
Africa:Senegal:Saint-Louis,,,2007,0.0357850892203289,0.0636402964366864,0.0193139103109394
Africa:Senegal:Saint-Louis,,,2008,0.0357852204856025,0.0636095592967097,0.0193241508232971
Africa:Senegal:Saint-Louis,,,2009,0.0357852891477682,0.0635788181493943,0.0193343826430031
Africa:Senegal:Saint-Louis,0.0307639914098038,0.0205296030048551,2010,0.0357488436601755,0.0634720605208803,0.0193283752238132
Africa:Senegal:Saint-Louis,,,2011,0.035821111629911,0.0636031587924881,0.0193676805045976
Africa:Senegal:Saint-Louis,0.0,0.0,2012,0.0358742919654764,0.0636871976250786,0.0194006954362786
Africa:Senegal:Saint-Louis,,,2013,0.0358766273234213,0.0636895540344645,0.0194027952565331
Africa:Senegal:Saint-Louis,0.0,0.0,2014,0.0359414714578821,0.0637968334345947,0.0194405277132038
Africa:Senegal:Saint-Louis,0.1095647883228186,0.1077449114386556,2015,0.0358972535859095,0.0637075390983046,0.0194205541089726
Africa:Senegal:Saint-Louis,0.0,0.0,2016,0.0358147365896383,0.0635736063618803,0.0193718168309595
Africa:Senegal:Saint-Louis,0.0,0.0,2017,0.0357532145887072,0.063474048390509,0.0193351912656475
Africa:Senegal:Saint-Louis,0.0263543216726468,0.024820775411946,2018,0.0357769335909929,0.063523519857779,0.0193459888727893
Africa:Senegal:Saint-Louis,0.0206008295976077,0.0175940085676441,2019,0.0357496828033441,0.0635034742295333,0.0193226118859527
Africa:Senegal:Saint-Louis,,,2020,0.0357609565090926,0.0635789740257959,0.0193109743869555
Africa:Senegal:Saint-Louis,,,2021,0.0357612874648459,0.063625515714829,0.0192966012861208
Africa:Senegal:Saint-Louis,,,2022,0.0357615611411011,0.0636727014379378,0.0192820255104425
Africa:Senegal:Saint-Louis,,,2023,0.0357617778298238,0.0637205300047758,0.0192672491755298
Africa:Senegal:Saint-Louis,,,2024,0.035761937836444,0.0637690007685171,0.0192522743432368
Africa:Senegal:Saint-Louis,,,2025,0.0357620414803673,0.0638181135148102,0.0192371029817629
Africa:Senegal:Diourbel,,,1990,0.0384298209319531,0.0653016381731114,0.0217684670731457
Africa:Senegal:Diourbel,,,1991,0.0384296410981091,0.0652460294202004,0.0217882792878895
Africa:Senegal:Diourbel,,,1992,0.038429387439756,0.0651911855311163,0.0218077954475921
Africa:Senegal:Diourbel,0.0,0.0,1993,0.0384265881560606,0.0651301854487352,0.0218265650281137
Africa:Senegal:Diourbel,,,1994,0.0384307564509701,0.0650935191688835,0.0218449806325681
Africa:Senegal:Diourbel,,,1995,0.0384323826078436,0.0650504299410496,0.0218627241833569
Africa:Senegal:Diourbel,,,1996,0.0384339380611042,0.065007839034443,0.0218802409758927
Africa:Senegal:Diourbel,,,1997,0.0384354227951076,0.0649657463951928,0.0218975293713841
Africa:Senegal:Diourbel,,,1998,0.0384368368263317,0.0649241520195785,0.0219145877636837
Africa:Senegal:Diourbel,,,1999,0.0384381802057305,0.0648830559726593,0.0219314145519531
Africa:Senegal:Diourbel,,,2000,0.0384394530212334,0.0648424584138568,0.0219480081130993
Africa:Senegal:Diourbel,,,2001,0.0384406554002047,0.064802359635228,0.0219643667731162
Africa:Senegal:Diourbel,,,2002,0.0384417875118782,0.0647627601067078,0.0219804887786957
Africa:Senegal:Diourbel,,,2003,0.0384428544391796,0.0647239077309271,0.0219966989063399
Africa:Senegal:Diourbel,,,2004,0.0384438520258442,0.0646855944612351,0.0220115147136887
Africa:Senegal:Diourbel,0.0,0.0,2005,0.0384452814271121,0.0646446146587534,0.022027389771369
Africa:Senegal:Diourbel,,,2006,0.0384447967509326,0.064615297030201,0.0220377219215955
Africa:Senegal:Diourbel,,,2007,0.0384447316468144,0.0645828693760743,0.0220493910113678
Africa:Senegal:Diourbel,,,2008,0.03844458489222,0.0645505188842662,0.0220610220609664
Africa:Senegal:Diourbel,,,2009,0.0384443565368156,0.0645182461842363,0.0220726141668721
Africa:Senegal:Diourbel,0.0283832853754863,0.018400841431145,2010,0.0384054920190617,0.0644073752232708,0.0220650094586809
Africa:Senegal:Diourbel,,,2011,0.0384833308843568,0.06454461206499,0.0221121334629138
Africa:Senegal:Diourbel,0.0241647436590074,0.0238331047917588,2012,0.0385408181405009,0.0646280367019362,0.0221533067604668
Africa:Senegal:Diourbel,,,2013,0.0385471298996429,0.0646503494125105,0.0221530975850293
Africa:Senegal:Diourbel,0.0,0.0,2014,0.0386192708661926,0.0647764259457229,0.0221961341460133
Africa:Senegal:Diourbel,0.0456626034369928,0.0367047477334496,2015,0.0385759795217925,0.0646963984044701,0.0221725134347133
Africa:Senegal:Diourbel,0.0,0.0,2016,0.0384960065347276,0.0645848351804666,0.0221150344356765
