state,unmet_need,se.unmet_need,year,pred,pred_upper,pred_lower
Africa:Senegal:Diourbel:Mbacké,0.277593537455483,0.0227550240677265,2010,0.279825387439398,0.3193483793363543,0.2434635792981926
Africa:Senegal:Diourbel:Mbacké,,,2011,0.281417435084321,0.3366084733897788,0.2322396088140993
Africa:Senegal:Diourbel:Mbacké,0.2959586515774822,0.0327906178318891,2012,0.2829403505836917,0.3285512231321373,0.2414449650133841
Africa:Senegal:Diourbel:Mbacké,,,2013,0.2625748543011765,0.3151920998070591,0.2157828691793956
Africa:Senegal:Diourbel:Mbacké,0.2121996055857878,0.0209952413579691,2014,0.2430789552763031,0.2783995568581505,0.2105914546283484
Africa:Senegal:Diourbel:Mbacké,0.2712976523817801,0.031216847551303,2015,0.2620751467292995,0.3006480248164973,0.2269037448604018
Africa:Senegal:Diourbel:Mbacké,0.2857693374350714,0.0293475737756619,2016,0.2583374639677294,0.2957493858987211,0.224551646825235
Africa:Senegal:Diourbel:Mbacké,0.2643408240445464,0.0256029595403302,2017,0.2520802032184528,0.2876068667160686,0.2197928852154549
Africa:Senegal:Diourbel:Mbacké,0.2286164482047155,0.0283133026814765,2018,0.2334330123553715,0.2712888444028277,0.1993882098139782
Africa:Senegal:Diourbel:Mbacké,0.2004641635757113,0.0267218332281507,2019,0.2215100755807721,0.2646933052168231,0.1834309225008744
Africa:Senegal:Diourbel:Mbacké,,,2020,0.2242035131119482,0.2936488826361257,0.1670640802920488
Africa:Senegal:Diourbel:Mbacké,,,2021,0.2263872793982081,0.3157762137526327,0.1563576369096705
Africa:Senegal:Diourbel:Mbacké,,,2022,0.2281426211142107,0.3346528838226736,0.1478808245181637
Africa:Senegal:Diourbel:Mbacké,,,2023,0.2294637983827679,0.3514441829851702,0.1405686727436889
Africa:Senegal:Diourbel:Mbacké,,,2024,0.2303456326729558,0.3666931126672416,0.133932615170431
Africa:Senegal:Diourbel:Mbacké,,,2025,0.2307849510698538,0.3806918317286453,0.127719663630108
Africa:Senegal:Diourbel:Bambey,,,1990,0.3050060511452023,0.4581615968632866,0.1860646282012881
Africa:Senegal:Diourbel:Bambey,,,1991,0.3059824935689946,0.4438019092568454,0.1966351190029429
Africa:Senegal:Diourbel:Bambey,,,1992,0.3079636702396566,0.4293654566509451,0.2092508804819238
Africa:Senegal:Diourbel:Bambey,0.3617021276595744,0.0664867107215203,1993,0.3109170960910322,0.4138653810568429,0.2249146000517418
Africa:Senegal:Diourbel:Bambey,,,1994,0.3061570332201047,0.417261176684346,0.2148557533117897
